source_id,media_id,relative_path,image_sha256,group_key,sample_role,v1_2_gt,evaluation_scope,pilot_stratum,geometry_state,geometry_confidence,reason_code,input_detection_count,eligible_detection_count,detector_latency_seconds,geometry_latency_seconds,total_logical_latency_seconds,is_error,error_category
32,IMG_007550,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007550.png,5139a253b6d1ce8e79162844bc2560fcc29bf55dce700959e77d9e67c22eb95f,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,5,2,0.065921,0.08691212999110576,0.15283312999110577,True,line_detection_failure
34,IMG_007552,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007552.png,97932a55b037ccf310ae39eb1818d85f49ed164b4f599f90ee17b61ad5073694,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,15,12,0.067131,0.18319662599242292,0.2503276259924229,True,slot_structure_failure
36,IMG_007554,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007554.png,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.067355,0.19290181100950576,0.26025681100950576,True,slot_structure_failure
38,IMG_007556,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.061447,0.21935667100478895,0.280803671004789,True,line_detection_failure
40,IMG_007558,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007558.png,1e9b4b51182591cf840782316c7ea1cfce0cea6efc94092de7325bca41124439,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.067109,0.06187835900345817,0.12898735900345817,True,line_detection_failure
131,IMG_007647,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007647.png,acb8803cbfb955dc0a72690c938c86f7ca8a561fcce3ede8e58514f288819b02,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.065668,0.21823290899919812,0.2839009089991981,True,line_detection_failure
132,IMG_007648,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007648.png,2c4bbbf931299b88f97710ca859b17807cee73231eac4a0dc32c344d57e2b415,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.060933,0.21531717700418085,0.27625017700418086,True,slot_structure_failure
133,IMG_007649,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007649.png,310499ed3c9550849ae6784061779b520f92c9367709d996fa98d4966d2261e8,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.075986,0.20187735100626014,0.27786335100626014,True,slot_structure_failure
134,IMG_007650,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,normal,high,at_least_one_high_confidence_normal_no_positive,4,4,0.072007,0.1898454220063286,0.2618524220063286,True,geometry_rule_failure
135,IMG_007651,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007651.png,47d4eb825dadd64d74981785a3b057daf44143f2aa3115781da47922cbc8a7e5,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,5,5,0.058862,0.29232034701271914,0.3511823470127191,True,slot_structure_failure
136,IMG_007652,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007652.png,051cf35297a38c1ad2ae3f3ff27c6de0d70e34101e77d06e4526557ab1c25d2c,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,5,4,0.065407,0.3139448169968091,0.3793518169968091,True,slot_structure_failure
137,IMG_007653,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007653.png,4013ad94646bf8980504bf5cd6d53caa1f838a33e7a64fe559e863b8f210db38,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,6,6,0.066816,0.31158137699821964,0.3783973769982196,True,slot_structure_failure
138,IMG_007654,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007654.png,cb02df1970bfbfef7fc91fa5f26b649261b1a0abc993a9e7d138eeae709aed0b,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,9,9,0.058605,0.40754859399748966,0.4661535939974897,True,slot_structure_failure
139,IMG_007655,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007655.png,f2ae84613c6081fd7ad6517c3b54aee12af12e9ea22e99b023d785c59c2bbf84,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,6,6,0.062003,0.47055893900687806,0.5325619390068781,True,slot_structure_failure
140,IMG_007656,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007656.png,3490ca5ba3b4a7be56d614e5c2d17056dcf630fd3160b6e42bb27c6136473f3a,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.067797,0.2052409249881748,0.2730379249881748,True,slot_structure_failure
141,IMG_007657,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007657.png,2e420db62aa2008e456652b76f3554fdaa62afb939fe471a1662e1543ae8ca21,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.061943,0.3203964100102894,0.38233941001028937,True,slot_structure_failure
142,IMG_007658,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.058182,0.2179474619915709,0.2761294619915709,True,slot_structure_failure
143,IMG_007659,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007659.png,5d508341af52912d206632c94b9f5d63c601f83c6f2cbe70d93800c78ed5d59c,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,9,9,0.06554,0.30536798799585085,0.37090798799585084,True,slot_structure_failure
144,IMG_007660,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007660.png,28741c9d963fc398840356cb9879899e39b0a9f669eae247ae203c416a7e9b93,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,8,7,0.061822,0.3085096330032684,0.3703316330032684,True,slot_structure_failure
145,IMG_007661,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007661.png,beaa3b6552e92a51eb1e0fd521dd742306700cd09b1fa722e379806b8f9c3cc0,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.069825,0.28277302700735163,0.35259802700735166,True,slot_structure_failure
146,IMG_007662,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007662.png,3a1547f1a5538972cf11f0076c703ad9d88591700a9290af3498a834d3b84437,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,5,5,0.061291,0.20260448299814016,0.26389548299814014,True,slot_structure_failure
147,IMG_007663,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007663.png,3eed2e840fd7b20730d7f7010d3848aa8d53558a787a560618d847ecdbe4117d,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.066346,0.19455585900868755,0.26090185900868756,True,slot_structure_failure
148,IMG_007664,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007664.png,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,5,5,0.054875,0.22241348199895583,0.27728848199895584,True,slot_structure_failure
149,IMG_007665,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007665.png,99acaa870bcf567c9b87e27d38c472d6eae743614657842a19deed195379630b,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,normal,high,at_least_one_high_confidence_normal_no_positive,4,3,0.058886,0.16258060399559326,0.22146660399559326,True,geometry_rule_failure
150,IMG_007666,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007666.png,3aeb8a3d21872dc16afdd993b57ec38ee97a8077bb59179c724bd1176d3f82f7,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,p05_positive,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.075427,0.27333091900800355,0.34875791900800357,True,slot_structure_failure
281,IMG_007320,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007320.png,b37015b38be7e24bd3873e3d91ea54e8f2e713b46e6ee2b1ca13ffe12b0638e8,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.072539,0.07003650099795777,0.1425755009979578,False,
285,IMG_007324,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007324.png,ac8ab05dad895aa89946b380b0c4ac667d91583a4062da483e770c82d9800f59,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,6,3,0.064599,0.17870418800157495,0.24330318800157497,False,
289,IMG_007328,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007328.png,e21756f049ead7e77e259d9ba4ed7369db40e9ffe55a0c97e4e484923f79cc8e,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.056577,0.17721689799509477,0.23379389799509476,False,
293,IMG_007332,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007332.png,b66a6e967c3840611a37b7c40fff48e221521bcf6ebd98881b8dbdbf6d9fc153,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.062173,0.11372031700739171,0.17589331700739172,False,
298,IMG_007337,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007337.png,18fac90cca01f0d47ecb2b49ca4be90825e42961de9d137f8afa7e30a3eb4744,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.061664,0.17200121999485418,0.23366521999485418,False,
302,IMG_007341,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007341.png,3b25f76b665c447369972ed9429b62c4dd199ae608fd78fa801ce5b484909c2a,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,7,7,0.06942,0.2135611519915983,0.2829811519915983,False,
306,IMG_007345,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007345.png,444949a5bb1ef4f274d25fcc0804048b37eaff9452c2cba40e4b599d10f05dfa,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.064382,0.12735905399313197,0.19174105399313196,False,
310,IMG_007349,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007349.png,cc200060330faa0697ca33f1781fb3e190cd13dda00e63dff2cbb91f3ffecf01,hn01-gate-queue,hard_negative,negative,primary_binary,gate_queue_negative,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.060184,0.12432032699871343,0.18450432699871344,False,
161,IMG_007400,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007400.png,7f3de5c6d827c4067654c3198fd1428125e8d47442919b155f33202f47efdb85,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.05966,0.1552024020056706,0.21486240200567058,False,
167,IMG_007406,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007406.png,29ec4c3b22cff64f0ae2d6aa0c995a7c7d5715b9645e48d0f1dc1fad83077cd3,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,8,8,0.062809,0.2259256999968784,0.2887346999968784,False,
173,IMG_007412,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007412.png,43d2a9243e399caae8e2b2e320e24b779b8538584182bb3c24d5f307377f7b9f,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,13,12,0.063556,0.2718262630078243,0.3353822630078243,False,
178,IMG_007417,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007417.png,526c4f582dc4677d143ee9873c493204d768f976f56cf7844cf23d54f78d5f46,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.053648,0.1791744010115508,0.2328224010115508,False,
184,IMG_007423,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007423.png,ed8cfc97489a4302d06e64c7b1008603b5fc9d9fcb2e7a12131cb1d35979a643,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,9,9,0.077483,0.29076871399593074,0.3682517139959307,False,
190,IMG_007429,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007429.png,fd91a82c1e3107317fb53bba0612e4a0696c247cb423aaec106ac538f65f57e2,n01-standard-inside-bay,negative,negative,primary_binary,ordinary_negative,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.062801,0.39779559399175923,0.46059659399175923,False,
331,IMG_007370,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007370.png,567bae0c556243c5c6176adcafdceb373c161fa47b582c2fd2dafeaff108e47c,hn04-large-vehicle-compliant,hard_negative,negative,primary_binary,large_vehicle_negative,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.073583,0.13904408100643195,0.21262708100643196,False,
336,IMG_007375,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007375.png,7d86413201ae0750997ed6e6cda7ed8581fdfd581b62d2eb184c60b5cf2514fd,hn04-large-vehicle-compliant,hard_negative,negative,primary_binary,large_vehicle_negative,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.058814,0.29922896200150717,0.35804296200150715,False,
340,IMG_007379,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007379.png,115d7f60d1099d93d6cbb63f7136361142d3f7a60a35fb0fc66a35a8b9060004,hn04-large-vehicle-compliant,hard_negative,negative,primary_binary,large_vehicle_negative,insufficient,none,no_vehicle_level_decisive_geometry,5,5,0.059593,0.24347634699370246,0.30306934699370247,False,
191,IMG_007430,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007430.png,9c96d5b38480a64143b7712c98cda01a4a1524623de4f343525028b2ccf72e04,n02-close-to-line-but-inside,negative,negative,primary_binary,close_line_negative,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.062093,0.19887344400922302,0.26096644400922303,False,
203,IMG_007442,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007442.png,cf9599d0f02cc07b21557505cde20cf5c9ae7cafb02c72e70c4e13411f2f7d9f,n02-close-to-line-but-inside,negative,negative,primary_binary,close_line_negative,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.063528,0.16091095699812286,0.22443895699812286,False,
215,IMG_007454,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007454.png,31294814f4739ced23a5ed9eaf077869a62bc156987fdae30ca326c04393b233,n02-close-to-line-but-inside,negative,negative,primary_binary,close_line_negative,insufficient,none,no_vehicle_level_decisive_geometry,3,3,0.05708,0.21409854499506764,0.27117854499506766,False,
